"word","phonetic","meaning","level","category","example","related_words","part_of_speech","root"
" commence","/kəˈmens/","开始；着手","IELTS","IELTS","The ceremony will commence at 10 AM.","begin, start, initiate, launch","verb","拉丁语 cominitiare"
"abandon","/əˈbændən/","放弃；抛弃","IELTS","IELTS","They had to abandon the project due to lack of funds.","give up, desert, quit, forsake","verb","古法语"
"ability","/əˈbɪləti/","能力","CET4","General","She has the ability to lead.","capability, talent, skill, capacity","noun","拉丁语 habilitas"
"able","/ˈeibl/","有能力的；出色的","CET4","CET4","","","a",""
"abnormal","/æbˈnɔːməl/","不正常的","CET6","CET6","","","adj",""
"aboard","/əˈbɔːd/","在船(车)上；上船","CET4","CET4","","","ad",""
"abolish","/əˈbɒlɪʃ/","废除，消除","CET6","CET6","","","n",""
"abortion","/әˈbɒːʃәn/","流产，小产，堕胎 2. (计划、工程等的)中途失败;中止，中辍的计划","CET6","CET6","","","n",""
"about","/ˈəbaut/","关于；在...周围","CET4","CET4","","","prep",""
"above","/əˈbʌv/","在...上面；高于","CET4","CET4","","","prep",""
"abroad","/əˈbrɔːd/","(在)国外；到处","CET4","CET4","","","ad",""
"abrupt","/əˈbrʌpt/","突然的，出其 不意的 2. 陡峭的  3. 粗鲁的，无礼的","CET6","CET6","","","adj",""
"absence","/ˈæbsəns/","缺席；缺乏","CET4","General","In the absence of evidence, the case was dismissed.","lack, shortage, deficiency, void","noun","拉丁语 absentia"
"absent","/ˈæbsənt/","不在场的；缺乏的","CET4","CET4","","","a",""
"absolute","/ˈæbsəluːt/","绝对的","CET4","General","There is no absolute certainty in science.","complete, total, utter, unconditional","adj","拉丁语 absolutus"
"absolutely","/ˈæbsəluːtli/","完全地；绝对地","CET4","CET4","","","ad",""
"absorb","/əbˈzɔːrb/","吸收；吸引","CET4","General","Plants absorb carbon dioxide.","soak up, consume, take in, digest","verb","拉丁语 absorbere"
"abstract","/ˈæbstrækt/","抽象的；摘要","IELTS","IELTS","The abstract summarizes the key findings.","theoretical, conceptual, summary, outline","adj/noun","拉丁语 abstrahere"
"absurd","/əbˈsɜːd/","不合理的，荒谬的，可笑的","CET6","CET6","","","adj",""
"abundance","/əˈbʌndəns/","丰富，充裕，大量","CET6","CET6","","","n",""
"abundant","/əˈbʌndənt/","大量的，充裕的，丰富的 || be abundant in, be abundant with 有丰富的，有大量的","CET6","CET6","","","adj",""
"abuse","/əˈbjuːz/","辱骂，咒骂 2. 滥用，妄用 3. 虐待  [əˈbjuːs]","CET6","CET6","","","v",""
